url;note
YTS;0.000259
DME;0.006057
GPS;0.000306
LIR;0.001226
LDE;0.000287
YMM;0.000431
MLY;0.000276
BET;0.005449
EOH;0.000522
IXZ;0.000684
PBC;0.000268
MDT;0.000491
LAO;0.000321
YHY;0.000275
BJL;0.000347
YKL;0.000268
TIA;0.000322
SCL;0.000782
PVD;0.000321
AUG;0.000349
MOB;0.000265
GPA;0.000537
HDF;0.000781
IRC;0.000267
ATL;0.003602
DJE;0.000698
KVL;0.000290
JIQ;0.000313
FSD;0.000372
OVD;0.000383
SJP;0.000829
BLL;0.000444
KPY;0.000266
TPE;0.002629
CGQ;0.000450
KHN;0.000283
FOC;0.000425
PRG;0.001450
DRK;0.000269
YEV;0.000273
DIU;0.000265
IXS;0.000343
USU;0.000362
SLU;0.000261
TYN;0.000328
ART;0.000500
YVO;0.000285
PPB;0.000415
MNL;0.001328
JOL;0.000265
LKO;0.000522
UFA;0.000332
FSC;0.002654
GSO;0.000718
LRM;0.000433
POP;0.000705
YQT;0.000299
INV;0.000267
DRS;0.003198
YPR;0.000379
OPO;0.000400
GIG;0.001747
GRI;0.000310
SYR;0.000295
CGA;0.000385
GHB;0.000300
SXF;0.000300
BTI;0.000320
MPP;0.000343
IXM;0.000676
PPT;0.000441
CWB;0.002561
SFG;0.000300
MRV;0.000359
ULV;0.000288
BHI;0.000343
HJJ;0.000313
DMM;0.001226
TBS;0.000580
FAT;0.000586
MTJ;0.000265
YXE;0.000445
MGF;0.001645
BEY;0.000927
MEC;0.000263
AJR;0.000295
YKG;0.000263
SDQ;0.000567
YYJ;0.000460
SAV;0.000263
TLN;0.000998
WXN;0.000265
TIJ;0.000267
NYT;0.000258
ACU;0.000542
YOP;0.000272
PDX;0.001204
MGM;0.000265
RBR;0.000605
ABJ;0.001049
BAV;0.000447
HAN;0.001035
BRM;0.000308
BCA;0.000353
YXP;0.000275
AKY;0.000261
VQS;0.000291
WNA;0.000268
JNB;0.000658
MFM;0.001169
BDQ;0.000482
JQE;0.000279
BNS;0.000393
AJL;0.000522
CNS;0.000565
GJT;0.000310
OAL;0.000856
KWT;0.000297
RUT;0.000271
MSP;0.001067
TVC;0.000324
STI;0.000269
VOL;0.000275
YPH;0.000265
FKB;0.000608
SNA;0.000335
LIS;0.000602
GLV;0.000295
FUE;0.001517
PUY;0.000288
GLK;0.000258
BKC;0.000743
LYA;0.000276
FEN;0.000514
MLX;0.000262
GGG;0.000310
LAW;0.000370
YCG;0.000439
TRN;0.000941
TZX;0.000279
FLA;0.000295
TME;0.000284
LAI;0.000287
JTC;0.001033
SUG;0.000291
YQR;0.000427
LCA;0.000829
UCT;0.000286
TUN;0.000920
OZC;0.000337
BIM;0.000263
NTG;0.000283
BIA;0.001803
NQU;0.000343
BSB;0.002693
COS;0.000310
FLL;0.001237
PBI;0.000294
XIY;0.000665
ZIH;0.000261
KVD;0.000262
RJA;0.000264
PGF;0.000554
TYR;0.000307
CLV;0.000472
YYQ;0.000275
HCR;0.000352
IBR;0.000262
AGF;0.000312
LBA;0.000291
AOK;0.001038
AJU;0.001224
UDI;0.001359
SLZ;0.001777
KBP;0.000479
MLE;0.000272
HAV;0.001057
OAI;0.000258
NCE;0.003533
MGA;0.000374
LUR;0.000841
YBL;0.000497
ARC;0.000328
JRH;0.000336
TDD;0.000264
MBJ;0.000767
CAY;0.000492
TAM;0.000261
YOJ;0.000272
LRD;0.000400
CMN;0.000797
LEJ;0.002686
BOM;0.011339
SMK;0.000283
PAC;0.000707
BJV;0.000827
IRK;0.000267
POI;0.000261
ABI;0.000447
VPS;0.000270
XUZ;0.000276
KEF;0.001770
LCR;0.000286
PTY;0.000512
PBD;0.000290
WUX;0.000345
BAX;0.000447
HEA;0.000258
SDV;0.000258
DYG;0.000495
DSN;0.000264
AKI;0.000402
VRC;0.000300
LDG;0.000268
YCY;0.000269
SHH;0.000276
BVA;0.000881
VGA;0.000264
FMO;0.001408
HKG;0.003880
DGT;0.000294
YSK;0.000262
KOW;0.000270
CAI;0.000912
AYT;0.002711
ZYL;0.000300
BVH;0.001029
TMT;0.000630
SGC;0.000306
ACE;0.002447
CPO;0.000393
YAA;0.000310
YQQ;0.000478
YKF;0.000300
KNH;0.001132
AVN;0.000567
MAH;0.000997
SXB;0.001059
LRT;0.000318
SGF;0.000328
JNU;0.000322
YUD;0.000262
YBP;0.000282
SYQ;0.000433
POA;0.003405
CJB;0.000866
TJA;0.000260
AOS;0.000263
TSN;0.000307
KLU;0.000258
CZU;0.000295
UIP;0.000320
RDM;0.000270
CGO;0.001787
NBE;0.001509
TTQ;0.000269
ORY;0.005512
ZTH;0.000387
ZQW;0.000273
RJK;0.000275
RMP;0.000276
GUM;0.000258
STL;0.000723
CBR;0.000568
FBA;0.000458
SCY;0.000269
CEB;0.004335
NMA;0.000261
HRB;0.000400
DBV;0.000275
VOG;0.000316
ZAM;0.000464
GDL;0.000692
BRE;0.001311
CID;0.000644
TUR;0.000427
THE;0.001396
YUL;0.002377
BFQ;0.000400
HPN;0.002420
RLG;0.000276
SJD;0.000906
TAL;0.000297
PVA;0.000263
ALO;0.000425
CHO;0.001390
NEV;0.000365
JPA;0.000810
LHR;0.018782
PMO;0.000735
YEK;0.000364
VVC;0.000363
INN;0.000355
TFS;0.000699
JIB;0.000347
PTU;0.000268
GLF;0.000354
MZO;0.000343
YDQ;0.000295
WAW;0.000924
PIS;0.000283
BDL;0.001261
CME;0.000261
YUT;0.000266
MDL;0.000416
PQS;0.000277
NQN;0.000275
LEX;0.000423
SAL;0.000273
FOR;0.002171
CIZ;0.000354
PCL;0.000307
JFK;0.012375
CYO;0.000353
ERZ;0.000827
MTM;0.000259
BSA;0.000267
ORV;0.000314
AXD;0.000649
LGB;0.001164
PMC;0.000272
TFF;0.000751
LPA;0.001600
AKP;0.000654
ABL;0.000458
CDV;0.000279
AMA;0.000478
FWA;0.000372
DOU;0.000472
PFB;0.001071
ZHY;0.000283
YXC;0.000348
MFE;0.000265
YYF;0.000281
JDO;0.000605
ANR;0.000428
BRS;0.000453
CUU;0.000313
MDW;0.000842
SSG;0.001020
TCB;0.000272
CKG;0.002171
YZZ;0.000343
GDT;0.000332
IXU;0.000265
IKA;0.000362
MCI;0.000594
CKY;0.000729
KYK;0.000884
BBI;0.000897
SXR;0.000345
ANV;0.001006
IJK;0.000277
YZT;0.000363
ZMT;0.000355
CPT;0.000542
RTB;0.000267
BOC;0.000617
BTT;0.000634
KGX;0.000387
KGL;0.000763
HYD;0.002532
RDU;0.000382
SHV;0.000289
CPV;0.000511
BZV;0.000444
ORI;0.000278
KKJ;0.000264
HOM;0.000261
BOS;0.005351
LEB;0.000282
RIX;0.000918
GOJ;0.000300
NBC;0.000343
BOG;0.004856
GNU;0.000272
RDV;0.000264
OAK;0.001112
GNV;0.000345
YTY;0.000260
JGN;0.000258
COR;0.000628
LOS;0.000491
MSS;0.000278
OTP;0.000781
BUF;0.000415
AMS;0.005104
TIV;0.000276
YFB;0.000453
WAA;0.000281
STT;0.000298
RVE;0.000317
ROW;0.000263
FDF;0.000850
SVS;0.000276
MVD;0.000503
HPB;0.000263
REL;0.000314
HSG;0.000262
KGD;0.000426
YVP;0.000327
RMF;0.000271
IDR;0.001307
LAX;0.012958
SEA;0.001643
MZG;0.000657
HKT;0.000581
EDL;0.000291
CHS;0.000434
CNF;0.005946
MSL;0.000263
PTP;0.000778
VIE;0.002409
PES;0.000269
YRA;0.000271
BTR;0.000310
LFW;0.000650
MPL;0.000889
NUE;0.006364
RTW;0.000260
GPI;0.000333
MLA;0.001140
AAX;0.000567
MBT;0.000321
FNA;0.000360
YNT;0.000260
TCT;0.000262
TNK;0.000304
YFJ;0.000271
SLP;0.000276
GLA;0.000566
SKB;0.000279
EGC;0.000830
AER;0.001231
UUA;0.000365
MNI;0.000300
CMW;0.000827
ROS;0.000280
ONT;0.000463
KUK;0.000300
SNW;0.000258
KAW;0.000258
GRB;0.000320
BKI;0.000278
MOU;0.000267
SAN;0.000497
JAN;0.000370
FLR;0.001168
DUS;0.017232
LDB;0.001847
DLA;0.000444
SIN;0.001094
JSR;0.000300
YYC;0.001695
NME;0.000285
PNQ;0.000418
PIZ;0.000267
LSE;0.000311
CNX;0.000970
GDN;0.000354
STW;0.000269
ADL;0.000684
LJU;0.000444
LGW;0.001127
TAO;0.000347
ZAG;0.000353
EMK;0.000268
OBU;0.000262
CBB;0.000265
BVE;0.000903
EBB;0.000790
OPS;0.000339
TGK;0.000286
KOZ;0.000278
HGH;0.001370
LUM;0.000312
SPU;0.000325
CGM;0.000352
YYH;0.000279
SCI;0.000300
PUU;0.000297
GEV;0.000343
KLN;0.000266
YHK;0.000351
BLR;0.004118
BGO;0.000340
YCD;0.000350
BOY;0.000281
BCD;0.000417
DUB;0.002298
IXJ;0.000395
SCU;0.000331
PLS;0.000304
GSP;0.000370
MAF;0.000279
YQL;0.000281
BHX;0.001608
MEX;0.001717
CEM;0.000382
HOG;0.000779
RNO;0.000279
SSA;0.005453
YYY;0.000274
CAW;0.000417
GYD;0.000717
SZG;0.000770
FCO;0.003388
MDZ;0.000275
AGU;0.000478
PIA;0.000272
GND;0.000331
FEZ;0.000267
MCG;0.000304
PBM;0.000283
DLM;0.000827
IXR;0.000455
DRW;0.000565
GCK;0.000310
GCI;0.000663
IRZ;0.000354
OLB;0.002506
EYW;0.000408
NKG;0.000809
YXY;0.000350
KMS;0.000269
YUX;0.000265
KOT;0.000290
CHX;0.000400
LNZ;0.001079
MAB;0.000959
CSX;0.001364
NGB;0.000711
NSK;0.000268
AEP;0.001254
YIO;0.000268
AIN;0.000326
SXM;0.000546
DAV;0.000583
JLN;0.000370
ROV;0.000272
ATK;0.000326
MVP;0.000284
BYO;0.000726
CUZ;0.000290
CRM;0.000267
VCE;0.002089
CZX;0.000359
UIN;0.000267
LET;0.000384
LBB;0.000370
NCL;0.000628
SAX;0.000300
IST;0.002112
IEV;0.000887
IND;0.001970
HUN;0.000416
KTB;0.000307
DLC;0.000990
CSH;0.000325
BHU;0.000265
OCC;0.000263
MLH;0.000352
ATQ;0.000466
RAK;0.001474
PRN;0.000292
AKX;0.000400
PPS;0.000328
BHY;0.000286
SJJ;0.000266
PJM;0.000297
BHB;0.000349
YLL;0.000262
AJA;0.002584
SDF;0.000345
GOA;0.000444
XNN;0.000289
PMZ;0.000269
VEE;0.000269
AUS;0.001055
MHH;0.000392
EGO;0.000999
CZJ;0.000400
ILO;0.000506
RXS;0.000292
CUN;0.002533
EZS;0.000447
BHD;0.000684
MZT;0.000265
RUN;0.001175
USK;0.000268
IOS;0.001149
DAR;0.000428
BHK;0.000261
YWG;0.000604
MOA;0.000307
GZT;0.000286
BEN;0.002102
BHM;0.000875
NBS;0.000263
MRS;0.004236
VRA;0.000332
XRY;0.000311
NOB;0.000357
CKD;0.000305
SEB;0.000284
RPR;0.000404
JSI;0.000436
TBT;0.000932
VHM;0.000274
YUB;0.000258
SMI;0.000814
GVA;0.001890
BRW;0.000329
MQF;0.000261
SYM;0.000286
LCY;0.003673
ENA;0.000261
DEN;0.002795
FDH;0.000725
DEL;0.008610
ABQ;0.000769
GPT;0.000310
BON;0.000827
LMC;0.000263
CCJ;0.000386
GRK;0.000370
ZCL;0.000270
HBA;0.000375
PMW;0.000455
HDG;0.000261
UYN;0.000262
NAP;0.002042
MLM;0.000265
EUG;0.000500
TAC;0.000303
YZV;0.000367
INC;0.000297
JTR;0.000854
NRT;0.002184
ANI;0.001084
JDH;0.000956
PET;0.000420
PNZ;0.000552
ZSE;0.001486
LAS;0.003684
ESB;0.000266
KWK;0.000280
NAG;0.000364
MAZ;0.000365
CMB;0.000464
YYZ;0.004233
JDF;0.000472
YIK;0.000262
PER;0.000294
MCO;0.001637
LYI;0.000262
CXF;0.000267
YOW;0.000858
KIV;0.000729
DVO;0.000434
EEK;0.000275
LAU;0.000269
TIR;0.000264
GRZ;0.000923
DAC;0.000831
YSB;0.000259
KZN;0.000639
KTN;0.000595
YQB;0.000507
CUR;0.003861
JNG;0.000294
KUT;0.000291
LCH;0.000370
RTM;0.000434
GVR;0.001025
SOU;0.001498
WLK;0.000339
MDQ;0.000267
PEW;0.000259
QRO;0.000263
LIM;0.001963
BSO;0.000286
SJU;0.000920
MHK;0.000504
FNT;0.000320
SCN;0.000551
PBP;0.000269
YYB;0.000259
NSI;0.000609
ZNZ;0.000280
UKS;0.000269
SFN;0.000347
DRO;0.000310
YFC;0.000385
OKA;0.000410
YQC;0.000262
OOK;0.000305
CRK;0.000463
PUS;0.000295
YZF;0.000726
HEH;0.000258
UNK;0.000342
RBY;0.000288
EWR;0.002372
GYA;0.000265
APW;0.000349
BDA;0.000558
ERN;0.000458
LBV;0.000444
YPJ;0.000302
SWA;0.000322
VTZ;0.000399
YWL;0.000450
OWB;0.000267
HNL;0.002761
ASU;0.000281
TXL;0.002968
ETZ;0.000840
AQP;0.000322
VCP;0.012530
GES;0.000304
BLQ;0.001342
PZI;0.000274
SRV;0.000260
APO;0.000447
DED;0.000449
